Agency Name,Cost Pool,Fiscal Month,Cost,Fiscal Month (date),Fiscal & Calendar Month,Fiscal Year
Department of Transportation,Software,Oct-2024,5382830,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington Technology Solutions,External Labor,Nov-2024,5254002,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
University of Washington,Software,Oct-2024,5193391,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Dept of Social and Health Services,Outside Services,Mar-2025,5139018,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Enterprise Services,Hardware,Feb-2025,4986369,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington State University,Software,Jul-2024,4980582,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Employment Security Department,Outside Services,Mar-2025,4943572,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
University of Washington,Software,Feb-2025,4775067,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
University of Washington,Software,Mar-2025,4703589,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Community/Technical College System,Software,Nov-2024,4674228,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Dept of Social and Health Services,External Labor,Jul-2024,4550858,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Financial Management,Outside Services,Jul-2024,4471577,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Dept of Social and Health Services,Internal Services,Jan-2025,4459246,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Dept of Social and Health Services,Internal Services,Oct-2024,4433938,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
University of Washington,Outside Services,Dec-2024,4401996,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Dept of Social and Health Services,Outside Services,Nov-2024,4339539,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Employment Security Department,Outside Services,Jan-2025,4336035,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
University of Washington,Outside Services,Nov-2024,4291287,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Dept of Social and Health Services,External Labor,Aug-2024,4272278,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Dept of Social and Health Services,Internal Services,Dec-2024,4247905,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Community/Technical College System,Software,Aug-2024,4227489,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
University of Washington,Outside Services,Feb-2025,4216473,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Social and Health Services,External Labor,Sep-2024,4205724,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Transportation,Internal Labor,Sep-2024,4204685,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington Technology Solutions,External Labor,Dec-2024,4192198,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Dept of Social and Health Services,Internal Services,Nov-2024,4177655,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Dept of Social and Health Services,Internal Services,Feb-2025,4170532,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Employment Security Department,Outside Services,Sep-2024,4105064,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Labor and Industries,Internal Labor,Dec-2024,4103421,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Dept of Social and Health Services,Internal Services,Sep-2024,4081557,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Labor and Industries,Internal Labor,Aug-2024,4070473,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington Technology Solutions,Internal Labor,Mar-2025,4063698,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Labor and Industries,Internal Labor,Jul-2024,4062250,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Labor and Industries,Internal Labor,Nov-2024,4061551,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Labor and Industries,Internal Labor,Sep-2024,4053115,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Labor and Industries,Internal Labor,Jan-2025,4052651,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Corrections,Software,Sep-2024,4039885,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington Technology Solutions,External Labor,Oct-2024,4035641,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Labor and Industries,Internal Labor,Oct-2024,4023673,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington Technology Solutions,Internal Labor,Dec-2024,4009844,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington Technology Solutions,Internal Labor,Jan-2025,4002098,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Labor and Industries,Internal Labor,Mar-2025,3999443,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Labor and Industries,Internal Labor,Feb-2025,3997361,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Office of Financial Management,Internal Labor,Feb-2025,3994389,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Transportation,Software,Jul-2024,3975023,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington Technology Solutions,Internal Labor,Nov-2024,3973925,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington Technology Solutions,Internal Labor,Feb-2025,3969050,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington Technology Solutions,Internal Labor,Oct-2024,3953650,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Financial Management,Internal Labor,Jan-2025,3921316,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Financial Management,Internal Labor,Nov-2024,3919593,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington Technology Solutions,Internal Labor,Sep-2024,3914819,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington Technology Solutions,Internal Labor,Jul-2024,3899708,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Health,Internal Labor,Dec-2024,3896728,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington Technology Solutions,Internal Labor,Aug-2024,3884003,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
"Department of Children, Youth, and Famil",Internal Services,Jan-2025,3878541,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Financial Management,Internal Labor,Dec-2024,3874760,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Office of Financial Management,Internal Labor,Oct-2024,3853623,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Transportation,Internal Labor,Oct-2024,3850367,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington Technology Solutions,External Labor,Mar-2025,3840110,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Dept of Social and Health Services,External Labor,Nov-2024,3814551,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Financial Management,Internal Labor,Mar-2025,3804253,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Community/Technical College System,Software,Dec-2024,3788386,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Health,Internal Labor,Nov-2024,3746933,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Transportation,Internal Labor,Jan-2025,3745259,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Health,External Labor,Oct-2024,3743428,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Community/Technical College System,Software,Oct-2024,3740210,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Financial Management,Internal Labor,Jul-2024,3734049,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Health,Internal Labor,Oct-2024,3717197,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Financial Management,Internal Labor,Aug-2024,3710639,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
University of Washington,Outside Services,Oct-2024,3702827,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Financial Management,Internal Labor,Sep-2024,3694903,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Health,Internal Labor,Mar-2025,3693094,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Health,Internal Labor,Jan-2025,3643424,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Health,Internal Labor,Feb-2025,3623744,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Health,Internal Labor,Aug-2024,3598380,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Health,Internal Labor,Sep-2024,3594711,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Health,Internal Labor,Jul-2024,3568136,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Community/Technical College System,Software,Sep-2024,3551479,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Transportation,Internal Labor,Jul-2024,3519258,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Retirement Systems,Outside Services,Aug-2024,3468259,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Transportation,Internal Labor,Aug-2024,3447475,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Health,Software,Aug-2024,3434897,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington Technology Solutions,Outside Services,Aug-2024,3423844,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Dept of Social and Health Services,External Labor,Oct-2024,3421126,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Transportation,Internal Labor,Dec-2024,3382484,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Community/Technical College System,Software,Mar-2025,3375451,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
University of Washington,Outside Services,Jan-2025,3365538,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Transportation,Internal Labor,Mar-2025,3350713,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Health,Outside Services,Mar-2025,3333491,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Health,Outside Services,Dec-2024,3311476,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Health,Software,Jan-2025,3303407,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Employment Security Department,Software,Jul-2024,3295923,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Washington Technology Solutions,External Labor,Feb-2025,3251325,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Social and Health Services,External Labor,Dec-2024,3229851,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington Technology Solutions,Internal Services,Oct-2024,3212070,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Office of Financial Management,Outside Services,Nov-2024,3208379,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Labor and Industries,Software,Nov-2024,3184661,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Dept of Social and Health Services,Internal Services,Mar-2025,3166699,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Transportation,Internal Labor,Feb-2025,3162568,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Employment Security Department,Internal Labor,Mar-2025,3151958,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Dept of Social and Health Services,External Labor,Feb-2025,3139202,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Employment Security Department,Internal Labor,Feb-2025,3132076,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Employment Security Department,Internal Labor,Dec-2024,3093709,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Employment Security Department,Internal Labor,Jan-2025,3085492,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Employment Security Department,Internal Labor,Nov-2024,3067748,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Employment Security Department,Outside Services,Feb-2025,3042693,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Social and Health Services,Outside Services,Dec-2024,3031922,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Community/Technical College System,Internal Labor,Jul-2024,3008158,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Labor and Industries,Other,Oct-2024,2998675,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Washington Technology Solutions,Other,Mar-2025,2997416,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Dept of Social and Health Services,Software,Feb-2025,2960595,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Supt of Public Instruction,Software,Jul-2024,2946160,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Transportation,Internal Labor,Nov-2024,2945573,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Dept of Social and Health Services,Outside Services,Aug-2024,2896441,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Employment Security Department,Outside Services,Nov-2024,2874334,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Labor and Industries,Internal Services,Jan-2025,2855721,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington Technology Solutions,External Labor,Aug-2024,2837392,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Labor and Industries,Internal Services,Oct-2024,2832162,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Employment Security Department,Outside Services,Aug-2024,2825325,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Corrections,Internal Labor,Oct-2024,2810245,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Labor and Industries,Internal Services,Jul-2024,2803723,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Transportation,Outside Services,Oct-2024,2797080,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
"Department of Children, Youth, and Famil",Internal Labor,Jan-2025,2795682,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Labor and Industries,Outside Services,Sep-2024,2767340,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Corrections,Internal Labor,Mar-2025,2741007,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Licensing,Internal Services,Dec-2024,2739271,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington Technology Solutions,Software,Nov-2024,2724032,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Corrections,Internal Labor,Jan-2025,2703401,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Corrections,Internal Labor,Dec-2024,2695164,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Licensing,Outside Services,Aug-2024,2693965,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Corrections,Internal Labor,Feb-2025,2681043,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Dept of Social and Health Services,Outside Services,Sep-2024,2678391,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Corrections,Internal Services,Dec-2024,2665599,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
"Department of Children, Youth, and Famil",Internal Labor,Mar-2025,2663968,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Washington Technology Solutions,External Labor,Sep-2024,2654902,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Corrections,Internal Labor,Nov-2024,2637593,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Corrections,Internal Labor,Jul-2024,2628591,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Corrections,Internal Labor,Aug-2024,2617166,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
"Department of Children, Youth, and Famil",Internal Labor,Nov-2024,2612519,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington Technology Solutions,Outside Services,Nov-2024,2604039,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Corrections,Internal Labor,Sep-2024,2590822,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
"Department of Children, Youth, and Famil",Internal Labor,Oct-2024,2585991,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
"Department of Children, Youth, and Famil",Outside Services,Aug-2024,2583286,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
"Department of Children, Youth, and Famil",Internal Labor,Feb-2025,2572696,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
"Department of Children, Youth, and Famil",Internal Labor,Sep-2024,2564636,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington Technology Solutions,Outside Services,Mar-2025,2560807,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Labor and Industries,Software,Jul-2024,2551927,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
"Department of Children, Youth, and Famil",Internal Labor,Dec-2024,2549576,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
"Department of Children, Youth, and Famil",Internal Labor,Jul-2024,2548202,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Department of Transportation,Outside Services,Sep-2024,2534270,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Licensing,Internal Services,Jan-2025,2526619,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Washington Technology Solutions,Outside Services,Feb-2025,2511988,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
"Department of Children, Youth, and Famil",Outside Services,Jan-2025,2506749,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Office of Attorney General,Software,Mar-2025,2489932,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Corrections,Hardware,Nov-2024,2488402,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Office of Financial Management,Outside Services,Aug-2024,2471223,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Washington Technology Solutions,Outside Services,Sep-2024,2469937,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Health,Outside Services,Nov-2024,2459577,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Washington State Patrol,Software,Jan-2025,2451257,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Employment Security Department,Internal Labor,Sep-2024,2444679,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Department of Transportation,Outside Services,Feb-2025,2427363,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
"Department of Children, Youth, and Famil",Internal Labor,Aug-2024,2402203,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Employment Security Department,Internal Labor,Oct-2024,2384051,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Health,Software,Feb-2025,2380345,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Employment Security Department,Internal Labor,Aug-2024,2370618,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Transportation,Software,Mar-2025,2369913,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Employment Security Department,Outside Services,Oct-2024,2366814,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Transportation,Software,Aug-2024,2364688,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Employment Security Department,Internal Labor,Jul-2024,2338196,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
"Department of Children, Youth, and Famil",External Labor,Feb-2025,2266179,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Washington Technology Solutions,Other,Nov-2024,2255762,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Health,Outside Services,Jan-2025,2243238,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Retirement Systems,Outside Services,Oct-2024,2226526,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Revenue,Internal Labor,Jan-2025,2223197,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Revenue,Internal Labor,Sep-2024,2220167,09/01/2024 12:00:00 AM,FM15 (Sep-2024),FY2025
Washington Technology Solutions,External Labor,Jan-2025,2210805,01/01/2025 12:00:00 AM,FM19 (Jan-2025),FY2025
Department of Revenue,Internal Labor,Feb-2025,2209383,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Licensing,Software,Aug-2024,2205460,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Revenue,Internal Labor,Mar-2025,2201963,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Revenue,Internal Labor,Nov-2024,2196419,11/01/2024 12:00:00 AM,FM17 (Nov-2024),FY2025
Department of Revenue,Internal Labor,Oct-2024,2190731,10/01/2024 12:00:00 AM,FM16 (Oct-2024),FY2025
Department of Revenue,Internal Labor,Dec-2024,2189829,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Washington State University,Software,Aug-2024,2184617,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Department of Transportation,Outside Services,Dec-2024,2182915,12/01/2024 12:00:00 AM,FM18 (Dec-2024),FY2025
Department of Revenue,Internal Labor,Aug-2024,2160768,08/01/2024 12:00:00 AM,FM14 (Aug-2024),FY2025
Community/Technical College System,Software,Feb-2025,2157595,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
Department of Revenue,Internal Labor,Jul-2024,2147955,07/01/2024 12:00:00 AM,FM13 (Jul-2024),FY2025
Office of Financial Management,Outside Services,Mar-2025,2123096,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Department of Health,Other,Mar-2025,2065500,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Community/Technical College System,Hardware,Mar-2025,2054698,03/01/2025 12:00:00 AM,FM21 (Mar-2025),FY2025
Dept of Social and Health Services,Outside Services,Feb-2025,2047264,02/01/2025 12:00:00 AM,FM20 (Feb-2025),FY2025
